lon,lat,country_name,country_code_iso3,pm25_m4to9,fpm25_m4to9,n_months
27.5,75.86387634277344,NA,NA,1.3825202584266663,0.11902775367101033,6
27.5,76.80628204345703,NA,NA,1.207602729399999,0.10846940676371257,6
27.5,77.748687744140625,NA,NA,1.0222036242485046,0.1015126605828603,6
27.5,78.69110107421875,NA,NA,0.86002649863561,0.0951160192489624,6
27.5,79.63350677490234,NA,NA,0.7409094373385111,0.09164036313692729,6
27.5,80.57591247558594,NA,NA,0.65697314341863,0.08861713111400604,6
27.5,81.51832580566406,NA,NA,0.6061316182216009,0.0845887412627538,6
27.5,82.46073150634766,NA,NA,0.550858144958814,0.08119894067446391,6
27.5,83.40314483642578,NA,NA,0.5187309384346008,0.07997602224349976,6
27.5,84.345550537109375,NA,NA,0.49578885237375897,0.08007013549407323,6
27.5,85.28795623779297,NA,NA,0.48337813715140027,0.08147236208120982,6
27.5,86.2303695678711,NA,NA,0.4720052977403005,0.08277137329181035,6
27.5,87.17277526855469,NA,NA,0.45837004482746124,0.08413211007912953,6
27.5,88.11518096923828,NA,NA,0.4549651841322581,0.08680352071921031,6
27.5,89.0575942993164,NA,NA,0.4573795249064763,0.08993631104628245,6
27.5,90,NA,NA,0.4542076562841733,0.09301578750212987,6
28.75,-90,NA,NA,0.28572848439216614,7.216706871986389e-4,6
28.75,-89.0575942993164,NA,NA,0.3109617220858733,8.103052775065104e-4,6
28.75,-88.11518096923828,NA,NA,0.3279398940503597,8.983636895815531e-4,6
28.75,-87.17277526855469,NA,NA,0.3373371946314971,9.514391422271729e-4,6
28.75,-86.2303695678711,NA,NA,0.34686432778835297,0.0010028406977653503,6
28.75,-85.28795623779297,NA,NA,0.3524385616183281,0.0010292405883471172,6
28.75,-84.345550537109375,NA,NA,0.3612609791258971,0.0010553747415542603,6
28.75,-83.40314483642578,NA,NA,0.36995840817689896,0.001079373061656952,6
28.75,-82.46073150634766,NA,NA,0.3749089427292347,0.0011362545192241669,6
28.75,-81.51832580566406,NA,NA,0.3733176216483116,0.0011731262008349101,6
28.75,-80.57591247558594,NA,NA,0.3660886784394582,0.001144970456759135,6
28.75,-79.63350677490234,NA,NA,0.3630412146449089,0.0011354908347129822,6
28.75,-78.69110107421875,NA,NA,0.3665475423137347,0.0012224217255910237,6
28.75,-77.748687744140625,NA,NA,0.3697052498658498,0.0013128618399302165,6
28.75,-76.80628204345703,NA,NA,0.37170568853616714,0.0013766710956891377,6
28.75,-75.86387634277344,NA,NA,0.3678317839900653,0.0014138643940289815,6
28.75,-74.92146301269531,NA,NA,0.3573723832766215,0.0013803715507189434,6
28.75,-73.97905731201172,NA,NA,0.35191688934961957,0.0013844892382621765,6
28.75,-73.036651611328125,NA,NA,0.34886812170346576,0.0015147626399993896,6
28.75,-72.09423828125,NA,NA,0.40502024938662845,0.0018372188011805217,6
28.75,-71.1518325805664,NA,NA,0.4650152524312337,0.0022006829579671225,6
28.75,-70.20942687988281,NA,NA,0.495785449941953,0.0020991663138071695,6
28.75,-69.26701354980469,NA,NA,0.49747736752033234,0.0013090968132019043,6
28.75,-68.3246078491211,NA,NA,0.5209010988473892,8.217642704645792e-4,6
28.75,-67.3822021484375,NA,NA,0.5670092304547628,9.605487187703451e-4,6
28.75,-66.439788818359375,NA,NA,0.6592557777961096,0.0010869652032852173,6
28.75,-65.49738311767578,NA,NA,0.7790397802988688,0.0012445648511250813,6
28.75,-64.55497741699219,NA,NA,0.9232381681601206,0.001383682092030843,6
28.75,-63.61256408691406,NA,NA,1.0962624251842499,0.0015448133150736492,6
28.75,-62.67015838623047,NA,NA,1.295591910680135,0.0017927090326944988,6
28.75,-61.72774887084961,NA,NA,1.4772773583730061,0.0021157662073771157,6
28.75,-60.78533935546875,NA,NA,1.6407023270924885,0.0024836460749308267,6
28.75,-59.842933654785156,NA,NA,1.8035991787910461,0.002826551596323649,6
28.75,-58.9005241394043,NA,NA,1.958190381526947,0.0031866629918416343,6
28.75,-57.95811462402344,NA,NA,2.11131223042806,0.0034992496172587075,6
28.75,-57.01570510864258,NA,NA,2.244433502356211,0.003743886947631836,6
