lon,lat,country_name,country_code_iso3,pm_2000,fpm_2000,pm_2050_45,fpm_2050_45,pm_2050_85,fpm_2050_85,pm_2100_45,fpm_2100_45,pm_2100_85,fpm_2100_85,n_months
152.5,-10.837696075439453,NA,NA,1.7680036127567291,0.03899237513542175,1.468111664056778,0.04003829757372538,1.714108278354009,0.0424557626247406,1.3141607840855916,0.03414167960484823,1.6478126347064972,0.03849110007286072,6
152.5,-9.89528751373291,NA,NA,1.6350325147310893,0.03320738673210144,1.2720303336779277,0.0337334672609965,1.5719443559646606,0.03778076171875,1.1418290436267853,0.030121733744939167,1.5105813145637512,0.0354596475760142,6
152.5,-8.952879905700684,NA,NA,1.4757850368817647,0.02846909562746684,1.0588666796684265,0.02778772513071696,1.4138986666997273,0.034269104401270546,0.9646840492884318,0.02849959333737691,1.3449891606966655,0.033963570992151894,6
152.5,-8.01047134399414,NA,NA,1.3143687347571056,0.024895817041397095,0.8747969269752502,0.02383437752723694,1.2654405732949574,0.03202635049819946,0.8059928019841512,0.028861622015635174,1.175003896156947,0.033795694510142006,6
152.5,-7.068062782287598,NA,NA,1.1600795487562816,0.022491127252578735,0.7311381101608276,0.023724262913068134,1.1280689438184102,0.03133662541707357,0.6798141201337179,0.03201017280419668,1.0221211711565654,0.03778164585431417,6
152.5,-6.125654220581055,NA,NA,1.0478558043638866,0.02145599325497945,0.6266782383124033,0.025325044989585876,1.0475882291793823,0.03300178050994873,0.5926394760608673,0.0365875760714213,0.9220048387845358,0.04738011956214905,6
152.5,-5.18324613571167,NA,NA,0.6186621834834417,0.023395175735155743,0.46908604602018994,0.027455831567446392,0.6441303789615631,0.04046789805094401,0.4352615922689438,0.04379998644193014,0.6139350434144338,0.06338827311992645,6
152.5,-4.240837574005127,NA,NA,0.5200370798508326,0.02940368155638377,0.4554339398940404,0.03173361221949259,0.56003006299336755,0.05220331251621246,0.4258769651254018,0.05434799691041311,0.5702752023935318,0.08655087153116862,6
152.5,-3.298429250717163,NA,NA,0.6522857050100962,0.03909355401992798,0.5380559414625168,0.038496573766072593,0.7023553351561228,0.06850856045881908,0.49308466414610547,0.06345136960347493,0.7079431712627411,0.11353406310081482,6
152.5,-2.356020927429199,NA,NA,0.6902897655963898,0.0504795511563619,0.5351332972447077,0.04470749696095785,0.7587141791979471,0.08863305548826854,0.5014907022317251,0.07067463298638661,0.7794266293446223,0.14124062657356262,6
152.5,-1.4136126041412354,NA,NA,0.6926355510950089,0.06101126968860626,0.5425996979077657,0.04831300675868988,0.766588106751442,0.10450124243895213,0.5164388120174408,0.0779276837905248,0.8129285524288813,0.16507071753342947,6
152.5,-0.4712041914463043,NA,NA,0.68138421078523,0.0682501345872879,0.5483543078104655,0.051618884007136025,0.7613693724075953,0.11493228375911713,0.5245108207066854,0.08126567800839742,0.831995407740275,0.17982239027818045,6
152.5,0.4712041914463043,NA,NA,0.6627760132153829,0.07124858101209004,0.557700385649999,0.05577634274959564,0.7525926878054937,0.12065805494785309,0.5283082773288091,0.07760609189669292,0.8389636973539988,0.18769203126430511,6
152.5,1.4136126041412354,NA,NA,0.6396012107531229,0.07121432820955913,0.5689691950877508,0.05966360867023468,0.7377998381853104,0.12173690895239513,0.5366081148386002,0.0752679705619812,0.833070769906044,0.18740710616111755,6
152.5,2.356020927429199,NA,NA,0.6145246674617132,0.06891028086344402,0.5809148649374644,0.0614037017027537,0.7168017874161402,0.11822739740212758,0.5454803854227066,0.07242668668429057,0.8189705461263657,0.17939683298269907,6
152.5,3.298429250717163,NA,NA,0.5875576287508011,0.06309647858142853,0.5981466174125671,0.05838694671789805,0.6935370862483978,0.1089239368836085,0.5609326312939326,0.06903089086214702,0.8098576019207636,0.16700654725233713,6
152.5,4.240837574005127,NA,NA,0.5621180882056555,0.0551506777604421,0.6195805569489797,0.05359919865926107,0.6635557661453882,0.096230149269104,0.5819433977206548,0.06526811420917511,0.8032813866933187,0.14852604269981384,6
152.5,5.18324613571167,NA,NA,0.5526722421248754,0.04648482799530029,0.6428135534127554,0.048050170143445335,0.6469370623429617,0.0820750892162323,0.6063180069128672,0.05881518622239431,0.8094917933146158,0.1267733871936798,6
152.5,6.125654220581055,NA,NA,0.565151517589887,0.03955257932345072,0.6682368765274683,0.04420811931292216,0.6596403966347376,0.07022201021512349,0.6371141920487086,0.0524779756863912,0.8359001378218333,0.10920445621013641,6
152.5,7.068062782287598,NA,NA,0.603403573234876,0.03642808894316355,0.704005221525828,0.04215473930040995,0.7045789311329523,0.06382664541403453,0.6783905426661173,0.04810401797294617,0.8865520258744558,0.09794916212558746,6
152.5,8.01047134399414,NA,NA,0.6612631877263387,0.03543028235435486,0.7612719436486562,0.043149406711260475,0.7873762945334116,0.06249556442101797,0.7341711223125458,0.04698377847671509,0.9637208978335062,0.09211984773476918,6
152.5,8.952879905700684,NA,NA,0.7362984518210093,0.03633775313695272,0.8280105193456014,0.04307584961255392,0.8924708366394043,0.06337746481100719,0.7985421617825826,0.047527397672335304,1.0517696092526119,0.09036485850811005,6
152.5,9.89528751373291,NA,NA,0.8174918542305628,0.03820502758026123,0.9109847744305929,0.04404147466023763,1.0101132094860077,0.06483441591262817,0.8778530806303024,0.0502126415570577,1.1465469002723694,0.09154844284057617,6
152.5,10.837696075439453,NA,NA,0.9021697541077932,0.0407724529504776,1.0042521556218464,0.04683366417884827,1.1365271111329396,0.06751023232936859,0.9677962064743042,0.05396831035614014,1.2451357940832775,0.09397025903065999,6
152.5,11.780104637145996,NA,NA,0.9925809999306997,0.043828447659810386,1.1037955979506175,0.05127706130345663,1.2658703724543254,0.0707985907793045,1.064786026875178,0.05915078520774841,1.3430197834968567,0.09791536132494609,6
152.5,12.722513198852539,NA,NA,1.0962907274564107,0.04757538437843323,1.2087672650814056,0.0573681096235911,1.3834005892276764,0.07435991366704305,1.165779064098994,0.06570592522621155,1.4426616728305817,0.10313573479652405,6
152.5,13.664921760559082,NA,NA,1.2178683876991272,0.05206364393234253,1.3152732352415721,0.0634883443514506,1.4926371177037556,0.07853609323501587,1.2668992678324382,0.07284348209698994,1.5505385547876358,0.10989772280057271,6
152.5,14.607329368591309,NA,NA,1.3466910322507222,0.05715257922808329,1.4141426980495453,0.06906632582346599,1.6018583476543427,0.08326354622840881,1.3668882648150127,0.07930777470270793,1.6593199173609416,0.11811922490596771,6
152.5,15.549737930297852,NA,NA,1.486284077167511,0.06304993232091267,1.5081286430358887,0.07533202568689983,1.7115608652432759,0.08848007520039876,1.4627328316370647,0.08596308032671611,1.7575698792934418,0.12610368927319845,6
152.5,16.49214744567871,NA,NA,1.609622706969579,0.06975417335828145,1.5829055905342102,0.08194392919540405,1.8011230826377869,0.09374910593032837,1.542867402235667,0.09348281224568684,1.8323238889376323,0.13329277435938516,6
152.5,17.434555053710938,NA,NA,1.7051440676053364,0.07639428973197937,1.6434776385625203,0.08903984228769939,1.882797251145045,0.09916571776072185,1.6102070609728496,0.10193771123886108,1.8957614203294118,0.14098780353864035,6
152.5,18.376962661743164,NA,NA,1.786947747071584,0.08307047684987386,1.6954488356908162,0.09639646609624226,1.9572569628556569,0.10506036877632141,1.6649203300476074,0.1105129321416219,1.946727305650711,0.1483437716960907,6
152.5,19.319372177124023,NA,NA,1.876109629869461,0.09039704998334248,1.756995956103007,0.10523736476898193,2.0256866614023843,0.11089749137560527,1.7117440501848857,0.11795634031295776,1.9852673014005024,0.15558741490046182,6
152.5,20.26177978515625,NA,NA,1.9878428081671398,0.09964178005854289,1.8055815895398457,0.1132652759552002,2.098937680323919,0.11817272504170735,1.7540098627408345,0.126194437344869,2.025892287492752,0.16455945372581482,6
152.5,21.20418930053711,NA,NA,2.112535774707794,0.11128222942352295,1.8562507232030232,0.12233922878901164,2.1576895316441855,0.12538141012191772,1.776508053143819,0.13343113660812378,2.0840698877970376,0.17780596017837524,6
152.5,22.146596908569336,NA,NA,2.234181026617686,0.12453571955362956,1.9043625990549724,0.13098774353663126,2.2115124662717185,0.134298304716746,1.796724001566569,0.14198223749796549,2.1464853088061013,0.19471697012583414,6
