lon,lat,country_name,country_code_iso3,pm_2000,fpm_2000,pm_2050_45,fpm_2050_45,pm_2050_85,fpm_2050_85,pm_2100_45,fpm_2100_45,pm_2100_85,fpm_2100_85,n_months,fpm_2100_rcp_chg,fpm_2050_rcp_chg,fpm_2050_45_base_chg,fpm_2050_85_base_chg,fpm_2100_45_base_chg,fpm_2100_85_base_chg
-180,-59.842933654785156,NA,NA,2.0839553574721017,0.006184409062067668,2.4277793367703757,0.007064521312713623,2.235735406478246,0.006695568561553955,2.441808740297953,0.007417261600494385,2.3671339650948844,0.004136025905609131,12,-0.003281235694885254,-3.6895275115966797e-4,8.801122506459551e-4,5.111594994862871e-4,0.0012328525384267168,-0.002048383156458537
-180,-58.9005241394043,NA,NA,2.2192591528097787,0.007269750038782756,2.5042001605033875,0.00822665294011434,2.3732710083325705,0.007892996072769165,2.51657772064209,0.008804182211558024,2.51044237613678,0.004851043224334717,12,-0.003953138987223307,-3.3365686734517473e-4,9.56902901331584e-4,6.232460339864092e-4,0.0015344321727752677,-0.002418706814448039
-180,-57.95811462402344,NA,NA,2.3438482781251273,0.008660833040873209,2.5554189682006836,0.009569823741912842,2.501595159371694,0.009305298328399658,2.5653847654660544,0.01059397061665853,2.6310182213783264,0.005642632643381755,12,-0.004951337973276774,-2.645254135131836e-4,9.089907010396327e-4,6.444652875264491e-4,0.0019331375757853202,-0.003018200397491454
-180,-57.01570510864258,NA,NA,2.4502296249071756,0.010246098041534424,2.597385346889496,0.011257370313008627,2.6100024779637656,0.01086286703745524,2.6084968050320945,0.012612541516621908,2.7386832435925803,0.006643712520599365,12,-0.005968828996022543,-3.945032755533866e-4,0.001011272271474203,6.167689959208165e-4,0.0023664434750874843,-0.0036023855209350586
-180,-56.073299407958984,NA,NA,2.5465681155522666,0.011932273705800375,2.646199107170105,0.01342699925104777,2.704108953475952,0.012554009755452475,2.660377343495687,0.015104591846466064,2.843245287736257,0.007863461971282959,12,-0.0072411298751831055,-8.729894955952951e-4,0.0014947255452473947,6.217360496520996e-4,0.0031723181406656895,-0.004068811734517416
-180,-55.130889892578125,NA,NA,2.6372727751731873,0.013647158940633139,2.7084877689679465,0.01594616969426473,2.793279508749644,0.014684061209360758,2.722993552684784,0.017899195353190105,2.937459707260132,0.009279270966847738,12,-0.008619924386342367,-0.0012621084849039708,0.00229901075363159,0.0010369022687276193,0.004252036412556967,-0.0043678879737854
-180,-54.188480377197266,NA,NA,2.735153237978617,0.015812456607818604,2.779073198636373,0.01860364278157552,2.8856459061304727,0.01718306541442871,2.7922081549962363,0.021197378635406494,3.0314531326293945,0.010866701602935791,12,-0.010330677032470703,-0.0014205773671468087,0.002791186173756916,0.0013706088066101074,0.005384922027587891,-0.0049457550048828125
-180,-53.24607467651367,NA,NA,2.8366060853004456,0.01804266373316447,2.8635589679082236,0.02150758107503255,2.9786537090937295,0.019965410232543945,2.8831602732340493,0.025369385878245037,3.1191086769104004,0.012691140174865723,12,-0.012678245703379314,-0.0015421708424886056,0.0034649173418680804,0.0019227464993794748,0.007326722145080566,-0.005351523558298748
-180,-52.30366516113281,NA,NA,2.936507006486257,0.020455241203308105,2.9649036526679993,0.02457485596338908,3.0546359618504844,0.02263772487640381,2.986560265223185,0.02988376220067342,3.17326811949412,0.01468878984451294,12,-0.01519497235616048,-0.0019371310869852713,0.0041196147600809745,0.002182483673095703,0.009428520997365315,-0.005766451358795166
-180,-51.36125564575195,NA,NA,2.998953620592753,0.023339569568634033,3.0661996801694236,0.02845519781112671,3.0986096461613974,0.026144166787465412,3.0651359955469766,0.03410597642262777,3.1746559540430703,0.01725385586420695,12,-0.016852120558420818,-0.0023110310236612967,0.005115628242492676,0.002804597218831379,0.010766406853993736,-0.006085713704427082
